,Unnamed: 0,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
81,81,47,services,divorced,secondary,no,164,no,no,unknown,5,may,212,1,-1,0,unknown,no
82,82,42,technician,single,secondary,no,690,yes,no,unknown,5,may,20,1,-1,0,unknown,no
83,83,59,admin.,married,secondary,no,2343,yes,no,unknown,5,may,1042,1,-1,0,unknown,yes
84,84,46,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,246,1,-1,0,unknown,no
85,85,51,blue-collar,married,primary,no,173,yes,no,unknown,5,may,529,2,-1,0,unknown,no
86,86,56,admin.,married,secondary,no,45,no,no,unknown,5,may,1467,1,-1,0,unknown,yes
87,87,41,technician,married,secondary,no,1270,yes,no,unknown,5,may,1389,1,-1,0,unknown,yes
88,88,46,management,divorced,secondary,no,16,yes,yes,unknown,5,may,188,2,-1,0,unknown,no
89,89,57,retired,married,secondary,no,486,yes,no,unknown,5,may,180,2,-1,0,unknown,no
90,90,42,management,single,secondary,no,50,no,no,unknown,5,may,48,1,-1,0,unknown,no
91,91,30,technician,married,secondary,no,152,yes,yes,unknown,5,may,213,2,-1,0,unknown,no
92,92,60,admin.,married,secondary,no,290,yes,no,unknown,5,may,583,1,-1,0,unknown,no
93,93,60,blue-collar,married,unknown,no,54,yes,no,unknown,5,may,221,1,-1,0,unknown,no
94,94,57,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,173,1,-1,0,unknown,no
95,95,36,management,married,tertiary,no,101,yes,yes,unknown,5,may,426,1,-1,0,unknown,no
96,96,55,blue-collar,married,secondary,no,383,no,no,unknown,5,may,287,1,-1,0,unknown,no
97,97,60,retired,married,tertiary,no,81,yes,no,unknown,5,may,101,1,-1,0,unknown,no
98,98,39,technician,married,secondary,no,0,yes,no,unknown,5,may,203,1,-1,0,unknown,no
99,99,46,management,married,tertiary,no,229,yes,no,unknown,5,may,197,1,-1,0,unknown,no
100,100,44,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,257,1,-1,0,unknown,no
101,101,53,blue-collar,married,primary,no,90,no,no,unknown,5,may,124,1,-1,0,unknown,no
102,102,52,blue-collar,married,primary,no,128,yes,no,unknown,5,may,229,1,-1,0,unknown,no
103,103,59,blue-collar,married,primary,no,179,yes,no,unknown,5,may,55,3,-1,0,unknown,no
104,104,27,technician,single,tertiary,no,0,yes,no,unknown,5,may,400,1,-1,0,unknown,no
105,105,44,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,197,1,-1,0,unknown,no
106,106,47,technician,married,tertiary,no,151,yes,no,unknown,5,may,190,1,-1,0,unknown,no
107,107,34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21,1,-1,0,unknown,no
108,108,59,retired,single,secondary,no,30,yes,no,unknown,5,may,514,1,-1,0,unknown,no
109,109,45,management,married,tertiary,no,523,yes,no,unknown,5,may,849,2,-1,0,unknown,no
110,110,29,services,divorced,secondary,no,31,yes,no,unknown,5,may,194,1,-1,0,unknown,no
111,111,46,technician,divorced,secondary,no,79,no,no,unknown,5,may,144,1,-1,0,unknown,no
112,112,56,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,212,2,-1,0,unknown,no
113,113,36,blue-collar,married,primary,no,448,yes,no,unknown,5,may,286,1,-1,0,unknown,no
114,114,59,retired,divorced,primary,no,81,yes,no,unknown,5,may,107,1,-1,0,unknown,no
115,115,44,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,247,2,-1,0,unknown,no
116,116,41,admin.,married,secondary,no,351,yes,no,unknown,5,may,518,1,-1,0,unknown,no
117,117,33,management,single,tertiary,no,-67,yes,no,unknown,5,may,364,1,-1,0,unknown,no
118,118,59,management,divorced,tertiary,no,262,no,no,unknown,5,may,178,1,-1,0,unknown,no
119,119,57,technician,married,primary,no,0,no,no,unknown,5,may,98,1,-1,0,unknown,no
120,120,56,technician,divorced,unknown,no,56,yes,no,unknown,5,may,439,1,-1,0,unknown,no
121,121,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
122,122,34,admin.,married,unknown,no,3,yes,no,unknown,5,may,120,3,-1,0,unknown,no
123,123,43,services,married,secondary,no,41,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
124,124,52,technician,married,tertiary,no,7,no,yes,unknown,5,may,175,1,-1,0,unknown,no
125,125,33,technician,single,secondary,no,105,yes,no,unknown,5,may,262,2,-1,0,unknown,no
126,126,29,admin.,single,secondary,no,818,yes,yes,unknown,5,may,61,1,-1,0,unknown,no
127,127,34,services,married,secondary,no,-16,yes,yes,unknown,5,may,78,1,-1,0,unknown,no
128,128,31,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,143,1,-1,0,unknown,no
129,129,55,services,married,secondary,no,2476,yes,no,unknown,5,may,579,1,-1,0,unknown,yes
130,130,55,management,married,unknown,no,1185,no,no,unknown,5,may,677,1,-1,0,unknown,no
131,131,32,admin.,single,secondary,no,217,yes,no,unknown,5,may,345,1,-1,0,unknown,no
132,132,38,technician,single,secondary,no,1685,yes,no,unknown,5,may,185,1,-1,0,unknown,no
133,133,55,admin.,single,secondary,no,802,yes,yes,unknown,5,may,100,2,-1,0,unknown,no
134,134,28,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,125,2,-1,0,unknown,no
135,135,23,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,193,1,-1,0,unknown,no
136,136,32,technician,single,secondary,no,0,yes,no,unknown,5,may,136,1,-1,0,unknown,no
137,137,43,services,single,unknown,no,0,no,no,unknown,5,may,73,1,-1,0,unknown,no
138,138,32,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,528,1,-1,0,unknown,no
139,139,46,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,541,1,-1,0,unknown,no
140,140,53,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,163,1,-1,0,unknown,no
141,141,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
142,142,57,unemployed,married,tertiary,no,42,no,no,unknown,5,may,46,1,-1,0,unknown,no
143,143,37,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,204,1,-1,0,unknown,no
144,144,59,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,98,1,-1,0,unknown,no
145,145,33,services,married,secondary,no,22,yes,no,unknown,5,may,71,1,-1,0,unknown,no
146,146,56,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,157,2,-1,0,unknown,no
147,147,48,unemployed,married,secondary,no,293,yes,no,unknown,5,may,243,1,-1,0,unknown,no
148,148,43,services,married,primary,no,3,yes,no,unknown,5,may,186,2,-1,0,unknown,no
149,149,54,blue-collar,married,primary,no,348,yes,no,unknown,5,may,579,2,-1,0,unknown,no
150,150,51,blue-collar,married,unknown,no,-19,yes,no,unknown,5,may,163,2,-1,0,unknown,no
151,151,26,student,single,secondary,no,0,yes,no,unknown,5,may,610,2,-1,0,unknown,no
152,152,40,management,married,tertiary,no,-4,yes,no,unknown,5,may,2033,1,-1,0,unknown,no
153,153,39,management,married,secondary,no,18,yes,no,unknown,5,may,85,1,-1,0,unknown,no
154,154,50,technician,married,primary,no,139,no,no,unknown,5,may,114,2,-1,0,unknown,no
155,155,41,services,married,secondary,no,0,yes,no,unknown,5,may,114,2,-1,0,unknown,no
156,156,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
157,157,60,retired,divorced,secondary,no,216,yes,no,unknown,5,may,238,1,-1,0,unknown,no
158,158,52,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,93,3,-1,0,unknown,no
159,159,48,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,128,2,-1,0,unknown,no
160,160,48,services,married,unknown,no,1705,yes,no,unknown,5,may,107,1,-1,0,unknown,no
161,161,39,technician,single,tertiary,no,47,yes,no,unknown,5,may,181,1,-1,0,unknown,no
162,162,47,services,single,secondary,no,176,yes,no,unknown,5,may,303,2,-1,0,unknown,no
163,163,40,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,558,5,-1,0,unknown,no
164,164,45,technician,married,secondary,no,86,yes,no,unknown,5,may,270,1,-1,0,unknown,no
165,165,26,admin.,single,secondary,no,82,yes,no,unknown,5,may,228,1,-1,0,unknown,no
166,166,52,management,married,tertiary,no,271,yes,no,unknown,5,may,99,1,-1,0,unknown,no
167,167,54,technician,married,secondary,no,1378,yes,no,unknown,5,may,240,1,-1,0,unknown,no
168,168,54,admin.,married,tertiary,no,184,no,no,unknown,5,may,673,2,-1,0,unknown,yes
169,169,50,blue-collar,married,primary,no,0,no,no,unknown,5,may,233,3,-1,0,unknown,no
170,170,35,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,1056,1,-1,0,unknown,no
171,171,44,services,married,secondary,no,1357,yes,yes,unknown,5,may,250,1,-1,0,unknown,no
172,172,53,entrepreneur,married,unknown,no,19,yes,no,unknown,5,may,252,1,-1,0,unknown,no
173,173,35,retired,single,primary,no,434,no,no,unknown,5,may,138,1,-1,0,unknown,no
174,174,60,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,130,1,-1,0,unknown,no
175,175,53,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,412,1,-1,0,unknown,no
176,176,48,unemployed,married,secondary,no,41,yes,no,unknown,5,may,179,2,-1,0,unknown,no
177,177,34,technician,married,secondary,no,51,yes,no,unknown,5,may,19,2,-1,0,unknown,no
178,178,54,services,married,secondary,no,214,yes,no,unknown,5,may,458,2,-1,0,unknown,no
179,179,51,management,married,secondary,no,1161,yes,no,unknown,5,may,717,1,-1,0,unknown,no
180,180,31,services,married,tertiary,no,37,yes,no,unknown,5,may,313,1,-1,0,unknown,no
181,181,35,technician,divorced,secondary,no,787,yes,no,unknown,5,may,683,2,-1,0,unknown,no
182,182,35,services,married,secondary,no,59,yes,no,unknown,5,may,1077,1,-1,0,unknown,no
183,183,38,technician,married,secondary,no,253,yes,no,unknown,5,may,416,1,-1,0,unknown,no
184,184,36,admin.,married,tertiary,no,211,yes,no,unknown,5,may,146,2,-1,0,unknown,no
185,185,58,retired,married,primary,no,235,yes,no,unknown,5,may,167,1,-1,0,unknown,no
186,186,40,services,divorced,unknown,no,4384,yes,no,unknown,5,may,315,1,-1,0,unknown,no
187,187,54,management,married,secondary,no,4080,no,no,unknown,5,may,140,1,-1,0,unknown,no
188,188,34,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,346,1,-1,0,unknown,no
189,189,31,management,single,tertiary,no,0,yes,no,unknown,5,may,562,1,-1,0,unknown,no
190,190,51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
191,191,33,management,married,tertiary,no,377,yes,no,unknown,5,may,217,1,-1,0,unknown,no
192,192,55,management,married,tertiary,no,73,yes,no,unknown,5,may,142,2,-1,0,unknown,no
193,193,42,admin.,married,secondary,no,445,yes,no,unknown,5,may,67,1,-1,0,unknown,no
194,194,34,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,291,1,-1,0,unknown,no
195,195,33,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,309,2,-1,0,unknown,no
196,196,38,services,married,secondary,no,155,yes,no,unknown,5,may,248,1,-1,0,unknown,no
197,197,50,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,98,1,-1,0,unknown,no
198,198,43,management,married,tertiary,no,400,yes,no,unknown,5,may,256,1,-1,0,unknown,no
199,199,61,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,82,2,-1,0,unknown,no
200,200,47,admin.,married,secondary,no,219,yes,no,unknown,5,may,577,1,-1,0,unknown,no
201,201,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
202,202,44,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,477,1,-1,0,unknown,no
203,203,35,student,single,unknown,no,298,yes,no,unknown,5,may,611,2,-1,0,unknown,no
204,204,35,services,married,secondary,no,0,yes,no,unknown,5,may,471,1,-1,0,unknown,no
205,205,50,services,married,secondary,no,5699,yes,no,unknown,5,may,381,2,-1,0,unknown,no
206,206,41,management,married,tertiary,no,176,yes,yes,unknown,5,may,42,1,-1,0,unknown,no
207,207,41,management,married,tertiary,no,517,yes,no,unknown,5,may,251,1,-1,0,unknown,no
208,208,39,services,single,unknown,no,257,yes,no,unknown,5,may,408,1,-1,0,unknown,no
209,209,42,retired,married,secondary,no,56,yes,no,unknown,5,may,215,1,-1,0,unknown,no
210,210,38,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,287,1,-1,0,unknown,no
211,211,53,retired,married,secondary,no,330,yes,no,unknown,5,may,216,2,-1,0,unknown,no
212,212,59,housemaid,divorced,primary,no,195,no,no,unknown,5,may,366,2,-1,0,unknown,no
213,213,36,services,married,secondary,no,301,yes,no,unknown,5,may,210,1,-1,0,unknown,no
214,214,54,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,288,1,-1,0,unknown,no
215,215,40,technician,married,tertiary,no,483,yes,no,unknown,5,may,168,1,-1,0,unknown,no
216,216,47,unknown,married,unknown,no,28,no,no,unknown,5,may,338,2,-1,0,unknown,no
217,217,53,unemployed,married,unknown,no,13,no,no,unknown,5,may,410,3,-1,0,unknown,no
218,218,46,housemaid,married,primary,no,965,no,no,unknown,5,may,177,1,-1,0,unknown,no
219,219,39,management,married,tertiary,no,378,yes,yes,unknown,5,may,127,2,-1,0,unknown,no
220,220,40,unemployed,married,secondary,no,219,yes,no,unknown,5,may,357,1,-1,0,unknown,no
221,221,28,blue-collar,married,primary,no,324,yes,no,unknown,5,may,175,1,-1,0,unknown,no
222,222,35,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,300,1,-1,0,unknown,no
223,223,55,retired,married,secondary,no,0,no,yes,unknown,5,may,136,1,-1,0,unknown,no
224,224,43,technician,divorced,unknown,no,205,yes,no,unknown,5,may,1419,1,-1,0,unknown,no
225,225,48,blue-collar,married,primary,no,278,yes,no,unknown,5,may,125,2,-1,0,unknown,no
226,226,58,management,married,unknown,no,1065,yes,no,unknown,5,may,213,3,-1,0,unknown,no
227,227,33,management,single,tertiary,no,34,yes,no,unknown,5,may,27,1,-1,0,unknown,no
228,228,36,blue-collar,married,unknown,no,1033,no,no,unknown,5,may,238,2,-1,0,unknown,no
229,229,53,services,divorced,secondary,no,1467,yes,no,unknown,5,may,124,1,-1,0,unknown,no
230,230,47,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,18,1,-1,0,unknown,no
231,231,31,services,married,secondary,no,388,yes,no,unknown,5,may,730,2,-1,0,unknown,no
232,232,57,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,746,2,-1,0,unknown,no
233,233,53,blue-collar,married,unknown,no,1827,no,no,unknown,5,may,121,1,-1,0,unknown,no
234,234,55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247,1,-1,0,unknown,no
235,235,45,blue-collar,married,primary,no,25,yes,no,unknown,5,may,40,1,-1,0,unknown,no
236,236,53,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,181,2,-1,0,unknown,no
237,237,37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
238,238,44,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,206,1,-1,0,unknown,no
239,239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
240,240,46,technician,married,secondary,no,349,yes,yes,unknown,5,may,127,1,-1,0,unknown,no
241,241,43,entrepreneur,married,unknown,no,100,yes,no,unknown,5,may,702,1,-1,0,unknown,no
242,242,38,admin.,married,secondary,no,0,no,no,unknown,5,may,151,1,-1,0,unknown,no
243,243,43,technician,married,secondary,no,434,yes,no,unknown,5,may,117,1,-1,0,unknown,no
244,244,49,management,married,tertiary,no,3237,yes,no,unknown,5,may,232,3,-1,0,unknown,no
245,245,42,management,married,unknown,no,275,no,no,unknown,5,may,408,2,-1,0,unknown,no
246,246,22,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,179,2,-1,0,unknown,no
247,247,40,management,married,tertiary,no,207,yes,no,unknown,5,may,39,1,-1,0,unknown,no
248,248,39,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,282,1,-1,0,unknown,no
249,249,51,services,married,secondary,no,2248,yes,no,unknown,5,may,714,2,-1,0,unknown,no
250,250,49,admin.,married,secondary,no,428,yes,no,unknown,5,may,50,1,-1,0,unknown,no
251,251,53,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
252,252,34,services,single,secondary,no,0,yes,no,unknown,5,may,142,1,-1,0,unknown,no
253,253,33,technician,divorced,secondary,no,140,yes,no,unknown,5,may,227,1,-1,0,unknown,no
254,254,50,management,single,tertiary,no,297,yes,no,unknown,5,may,119,1,-1,0,unknown,no
255,255,39,blue-collar,married,primary,no,279,yes,no,unknown,5,may,361,1,-1,0,unknown,no
256,256,59,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,73,3,-1,0,unknown,no
257,257,30,technician,single,secondary,no,2573,yes,no,unknown,5,may,67,2,-1,0,unknown,no
258,258,36,services,married,secondary,no,143,yes,yes,unknown,5,may,350,1,-1,0,unknown,no
259,259,40,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,332,2,-1,0,unknown,no
260,260,53,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,611,2,-1,0,unknown,no
261,261,34,management,single,tertiary,no,318,yes,no,unknown,5,may,113,2,-1,0,unknown,no
262,262,37,technician,married,secondary,no,275,yes,no,unknown,5,may,132,1,-1,0,unknown,no
263,263,42,management,divorced,tertiary,no,742,yes,no,unknown,5,may,58,3,-1,0,unknown,no
264,264,41,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,151,1,-1,0,unknown,no
265,265,30,student,single,tertiary,no,25,yes,no,unknown,5,may,89,2,-1,0,unknown,no
266,266,37,management,single,tertiary,no,600,yes,no,unknown,5,may,152,1,-1,0,unknown,no
267,267,39,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,611,2,-1,0,unknown,no
268,268,41,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,110,2,-1,0,unknown,no
269,269,40,blue-collar,married,primary,no,0,yes,no,unknown,5,may,463,1,-1,0,unknown,no
270,270,42,management,single,tertiary,no,0,yes,yes,unknown,5,may,562,2,-1,0,unknown,yes
271,271,40,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,962,1,-1,0,unknown,no
272,272,57,technician,married,secondary,no,1078,yes,no,unknown,5,may,10,4,-1,0,unknown,no
273,273,56,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,118,3,-1,0,unknown,no
274,274,37,admin.,married,secondary,no,190,yes,no,unknown,5,may,92,2,-1,0,unknown,no
275,275,59,retired,married,secondary,no,319,yes,no,unknown,5,may,143,3,-1,0,unknown,no
276,276,39,services,divorced,secondary,no,-185,yes,no,unknown,5,may,189,3,-1,0,unknown,no
277,277,49,services,married,secondary,no,47,no,no,unknown,5,may,234,2,-1,0,unknown,no
278,278,38,services,single,secondary,no,570,yes,no,unknown,5,may,75,2,-1,0,unknown,no
279,279,36,self-employed,married,tertiary,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,no
280,280,50,blue-collar,married,primary,no,61,yes,no,unknown,5,may,621,3,-1,0,unknown,no
281,281,41,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,55,2,-1,0,unknown,no
282,282,54,technician,married,tertiary,no,258,no,no,unknown,5,may,310,4,-1,0,unknown,no
283,283,58,blue-collar,married,primary,no,76,yes,no,unknown,5,may,156,2,-1,0,unknown,no
284,284,30,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
285,285,33,admin.,single,secondary,no,352,yes,no,unknown,5,may,225,2,-1,0,unknown,no
